token,emotion,frequency
musical,anger,1
musical,anticipation,1
musical,joy,1
musical,positive,1
musical,sadness,1
musical,surprise,1
musical,trust,1
lonely,anger,1
lonely,disgust,1
lonely,fear,1
lonely,negative,1
lonely,sadness,1
revolver,anger,1
revolver,fear,1
revolver,negative,1
revolver,sadness,1
hit,anger,1
hit,negative,1
inspiration,anticipation,1
inspiration,joy,1
inspiration,positive,1
buddy,anticipation,1
buddy,joy,1
buddy,positive,1
buddy,trust,1
career,anticipation,2
career,positive,2
success,anticipation,1
success,joy,1
success,positive,1
time,anticipation,1
john,disgust,1
john,negative,1
music,joy,5
music,positive,5
music,sadness,5
love,joy,2
love,positive,2
classics,joy,1
classics,positive,1
memorable,joy,1
memorable,positive,1
memorable,surprise,1
memorable,trust,1
backward,negative,1
pop,negative,1
pop,surprise,1
breakup,negative,1
breakup,sadness,1
influential,positive,2
influential,trust,2
culture,positive,1
rock,positive,2
gaining,positive,1
popularity,positive,1
core,positive,1
rhythm,positive,1
lead,positive,1
included,positive,1
variable,surprise,1
personal,trust,1
leading,trust,1
